Team Number, Durability, Mechanical Efficiency,Mechanization, Programming Quality,Programming Efficiency,Automation/Navigation, Design Process, Mission Strategy, Innovation,Mechanical Design Total, Programming Total, Strategy & Innovation Total,Core Values Grand Total
4230,1,1,1,4,4,4,3,2,2,3,12,7,22
7103,3,3,1,3,4,4,1,4,3,7,11,8,26
7833,1,4,2,4,3,4,2,2,1,7,11,5,23
10381,3,3,3,3,4,4,3,2,4,9,11,9,29
7949,3,3,2,3,4,3,1,1,3,8,10,5,23
7896,3,4,1,4,2,4,1,1,3,8,10,5,23
7171,4,2,2,4,3,3,3,4,4,8,10,11,29
3618,4,2,4,4,2,4,2,1,3,10,10,6,26
5001,3,3,4,4,3,3,3,4,3,10,10,10,30
5967,1,3,1,2,4,4,3,3,2,5,10,8,23
4257,3,4,4,4,3,3,4,2,3,11,10,9,30
10572,1,4,3,3,2,4,3,4,1,8,9,8,25
4309,4,2,1,2,3,4,2,4,2,7,9,8,24
3899,2,3,4,3,3,3,2,3,4,9,9,9,27
2750,1,3,4,3,3,3,3,4,2,8,9,9,26
3999,1,3,1,1,4,4,4,1,1,5,9,6,20
3646,2,2,1,1,4,4,3,2,3,5,9,8,22
4528,4,3,4,2,3,4,4,2,2,11,9,8,28
3627,1,3,4,4,4,1,2,3,3,8,9,8,25
5988,3,3,2,2,4,2,3,2,1,8,8,6,22
9436,4,4,1,3,1,4,1,2,4,9,8,7,24
5515,2,2,2,4,1,3,4,3,2,6,8,9,23
6237,2,1,4,4,2,2,2,4,1,7,8,7,22
3454,2,1,2,3,2,3,4,2,3,5,8,9,22
6694,4,2,1,1,3,4,3,4,1,7,8,8,23
7903,1,4,3,4,1,3,1,1,4,8,8,6,22
4228,3,1,1,3,3,2,1,2,4,5,8,7,20
7908,2,1,1,1,4,3,4,3,2,4,8,9,21
6473,2,1,4,3,4,1,4,4,4,7,8,12,27
1685,2,4,4,4,1,2,4,3,2,10,7,9,26
3277,4,1,2,2,4,1,2,2,4,7,7,8,22
1270,3,4,3,3,1,3,1,1,3,10,7,5,22
6417,2,4,3,3,1,3,1,4,4,9,7,9,25
10164,3,3,3,4,1,2,3,3,4,9,7,10,26
4972,4,1,4,3,2,2,2,3,2,9,7,7,23
8774,2,1,2,4,2,1,3,4,4,5,7,11,23
2733,4,2,4,4,1,2,1,1,4,10,7,6,23
5928,1,2,1,1,4,2,2,3,1,4,7,6,17
10115,2,2,2,1,2,4,4,1,1,6,7,6,19
9688,4,4,3,1,3,2,3,1,4,11,6,8,25
8988,1,2,2,2,2,2,4,3,1,5,6,8,19
7108,2,2,3,3,2,1,2,1,4,7,6,7,20
7710,4,4,3,2,2,2,4,4,1,11,6,9,26
8894,2,4,4,3,1,2,1,3,3,10,6,7,23
1150,1,4,4,1,4,1,1,1,1,9,6,3,18
1488,4,2,3,2,2,2,3,1,3,9,6,7,22
9382,3,3,2,2,3,1,4,4,1,8,6,9,23
6251,1,2,2,2,3,1,4,1,3,5,6,8,19
1215,4,4,3,2,1,3,3,4,2,11,6,9,26
4503,3,3,2,2,3,1,2,2,3,8,6,7,21
6579,2,1,3,1,4,1,2,1,2,6,6,5,17
1350,3,1,3,2,2,1,2,2,2,7,5,6,18
1551,4,4,1,1,1,3,1,3,2,9,5,6,20
1782,3,3,1,1,1,3,1,3,2,7,5,6,18
9683,1,1,3,2,2,1,2,2,4,5,5,8,18
2480,1,1,4,2,2,1,2,2,1,6,5,5,16
2178,1,1,1,1,3,1,4,3,2,3,5,9,17
5999,2,2,3,1,1,2,4,3,1,7,4,8,19
7019,4,1,2,1,1,2,1,4,1,7,4,6,17
8065,3,2,2,1,1,1,1,1,3,7,3,5,15
